Vernier Format 2
Nuovo file.cmbl 01/12/2021 17:06:58 .
Ultimo
Tempo	Tensione 1	Tensione 2	Tensione 3	Tensione 4	R1	R2	R3	Temperature
t	Tens 1	Tens 2	Tens 3	Tens 4	R1	R2	R3	T
s	V	V	V	V	Ω	Ω	Ω	K

1550	1.36264	0.041514	1.72161	2.25031	136.264	4.1514	1.72161	225.031
1560	1.35775	0.041514	1.71673	2.24664	135.775	4.1514	1.71673	224.664
1570	1.35409	0.041514	1.71306	2.24176	135.409	4.1514	1.71306	224.176
1580	1.34921	0.041514	1.7094	2.23687	134.921	4.1514	1.7094	223.687
1590	1.34554	0.041514	1.70574	2.23199	134.554	4.1514	1.70574	223.199
1600	1.34188	0.040293	1.70208	2.22711	134.188	4.0293	1.70208	222.711
1610	1.33822	0.041514	1.69841	2.22344	133.822	4.1514	1.69841	222.344
1620	1.33333	0.040293	1.69475	2.21856	133.333	4.0293	1.69475	221.856
1630	1.32967	0.040293	1.69109	2.21368	132.967	4.0293	1.69109	221.368
1640	1.32601	0.040293	1.68742	2.20879	132.601	4.0293	1.68742	220.879
1650	1.32234	0.040293	1.68376	2.20513	132.234	4.0293	1.68376	220.513
1660	1.31868	0.040293	1.6801	2.20269	131.868	4.0293	1.6801	220.269
1670	1.31502	0.040293	1.67766	2.1978	131.502	4.0293	1.67766	219.78
1680	1.31136	0.040293	1.67277	2.19292	131.136	4.0293	1.67277	219.292
1690	1.30647	0.039072	1.67033	2.18926	130.647	3.9072	1.67033	218.926
1700	1.30281	0.040293	1.66545	2.18559	130.281	4.0293	1.66545	218.559
1710	1.29915	0.039072	1.663	2.18193	129.915	3.9072	1.663	218.193
1720	1.29426	0.039072	1.65812	2.17582	129.426	3.9072	1.65812	217.582
1730	1.28816	0.039072	1.65324	2.17094	128.816	3.9072	1.65324	217.094
1740	1.28327	0.039072	1.64957	2.16606	128.327	3.9072	1.64957	216.606
1750	1.27717	0.039072	1.64469	2.16117	127.717	3.9072	1.64469	216.117
1760	1.27106	0.039072	1.6398	2.15507	127.106	3.9072	1.6398	215.507
1770	1.2674	0.039072	1.63492	2.14896	126.74	3.9072	1.63492	214.896
1780	1.26129	0.039072	1.62882	2.14286	126.129	3.9072	1.62882	214.286
1790	1.25519	0.039072	1.62393	2.13797	125.519	3.9072	1.62393	213.797
1800	1.24908	0.039072	1.61783	2.13187	124.908	3.9072	1.61783	213.187
1810	1.24298	0.039072	1.61172	2.12454	124.298	3.9072	1.61172	212.454
1820	1.23687	0.039072	1.60684	2.11722	123.687	3.9072	1.60684	211.722
1830	1.23077	0.039072	1.59951	2.11111	123.077	3.9072	1.59951	211.111
1840	1.22466	0.039072	1.59341	2.10256	122.466	3.9072	1.59341	210.256
1850	1.21856	0.037851	1.58608	2.09646	121.856	3.7851	1.58608	209.646
1860	1.21245	0.037851	1.57998	2.08791	121.245	3.7851	1.57998	208.791
1870	1.20513	0.037851	1.57387	2.08059	120.513	3.7851	1.57387	208.059
1880	1.19902	0.03663	1.56654	2.07448	119.902	3.663	1.56654	207.448
1890	1.1917	0.03663	1.56044	2.06471	119.17	3.663	1.56044	206.471
1900	1.18559	0.03663	1.55311	2.05739	118.559	3.663	1.55311	205.739
1910	1.17827	0.03663	1.54701	2.05006	117.827	3.663	1.54701	205.006
1920	1.17216	0.035409	1.5409	2.04274	117.216	3.5409	1.5409	204.274
1930	1.16484	0.03663	1.53358	2.03419	116.484	3.663	1.53358	203.419
