integration time 1.000,000 ms
average 50
LED operation voltage 3V
wavelength nm vs intensity

7.020913696e+02,8.119040169e-03
7.023218994e+02,1.085436903e-03
7.025524292e+02,2.248970326e-03
7.027829590e+02,1.539924997e-03
7.030134888e+02,5.950838095e-04
7.032440186e+02,-2.167505445e-03
7.034745483e+02,3.227276960e-03
7.037051392e+02,2.560149413e-03
7.039357300e+02,2.432412235e-03
7.041662598e+02,-5.975549109e-03
7.043969116e+02,3.924206831e-03
7.046275024e+02,7.617415395e-03
7.048580933e+02,6.930255331e-03
7.050887451e+02,-4.807338584e-03
7.053193359e+02,9.528729715e-04
7.055499878e+02,2.554786857e-03
7.057806396e+02,3.587099025e-03
7.060112915e+02,7.929352112e-03
7.062419434e+02,2.914028708e-03
7.064726563e+02,8.674902492e-04
7.067033081e+02,-2.576169092e-03
7.069340210e+02,7.052328438e-03
7.071647339e+02,-3.688780358e-03
7.073954468e+02,-1.783844666e-03
7.076261597e+02,-8.743662387e-03
7.078569336e+02,5.363348173e-04
7.080876465e+02,5.082279444e-03
7.083184204e+02,-6.652946468e-04
7.085491943e+02,4.539394751e-03
7.087799683e+02,-2.683449071e-03
7.090107422e+02,-1.598660718e-03
7.092415771e+02,1.199606806e-03
7.094723511e+02,-3.735058242e-03
7.097031860e+02,2.281895140e-03
7.099339600e+02,-7.392189931e-03
7.101647949e+02,-2.229419071e-03
7.103956909e+02,6.067222916e-03
7.106265259e+02,-3.458629129e-03
7.108573608e+02,-1.409625867e-03
7.110882568e+02,2.420518547e-03
7.113191528e+02,1.234188862e-02
7.115499878e+02,5.202331580e-03
7.117809448e+02,-5.679583643e-03
7.120118408e+02,5.124765448e-03
7.122427368e+02,-2.563882619e-03
7.124736938e+02,6.637982093e-03
7.127045898e+02,1.357899164e-03
7.129355469e+02,-3.396393033e-03
7.131665039e+02,6.193850422e-04
7.133974609e+02,4.502406344e-03
7.136284790e+02,-1.775266137e-03
7.138594360e+02,2.635171870e-03
7.140904541e+02,4.575467203e-03
7.143214722e+02,-1.039808732e-03
7.145524292e+02,5.149467383e-03
7.147835083e+02,4.356483929e-03
7.150145264e+02,1.325015631e-02
7.152455444e+02,-5.569367670e-03
7.154766235e+02,3.432873054e-04
7.157076416e+02,-2.570478246e-03
7.159387207e+02,-4.624102439e-04
7.161697998e+02,8.931431919e-03
7.164009399e+02,2.467509359e-03
7.166320190e+02,-3.293813905e-03
7.168630981e+02,4.520275688e-04
7.170942383e+02,-3.912787419e-03
7.173253784e+02,2.375302371e-03
7.175565186e+02,-1.871382585e-03
7.177876587e+02,-2.810063306e-03
7.180187988e+02,1.030009612e-02
7.182500000e+02,8.595560212e-04
7.184811401e+02,5.025749095e-03
7.187123413e+02,7.056886330e-03
7.189435425e+02,2.915848047e-03
7.191747437e+02,1.200958272e-03
7.194059448e+02,7.956691086e-03
7.196372070e+02,1.236155350e-02
7.198684082e+02,4.830947146e-03
7.200996704e+02,-6.990251713e-04
7.203309326e+02,1.106817275e-03
7.205621948e+02,-8.435191558e-05
7.207934570e+02,7.485879119e-03
7.210247192e+02,-6.831436418e-03
7.212560425e+02,4.743506666e-03
7.214873047e+02,4.236333072e-03
7.217186279e+02,1.226226799e-03
7.219499512e+02,1.248361077e-02
7.221812744e+02,3.390714119e-04
7.224125977e+02,3.103523748e-03
7.226439819e+02,-4.947981331e-03
7.228753052e+02,-1.287620747e-03
7.231066895e+02,3.583846847e-03
7.233380737e+02,3.028523177e-03
7.235694580e+02,7.742041256e-03
7.238008423e+02,-4.896705039e-03
7.240322266e+02,-3.662971780e-03
7.242636719e+02,-1.352941501e-03
7.244950562e+02,4.263685551e-03
7.247265015e+02,3.336530644e-03
7.249579468e+02,5.095055792e-03
7.251893921e+02,6.556645531e-05
7.254208984e+02,-4.300468936e-05
7.256523438e+02,1.649932936e-03
7.258838501e+02,-9.777016239e-04
7.261152954e+02,1.039563958e-02
7.263468018e+02,1.009366009e-02
7.265783081e+02,3.536163131e-03
7.268098145e+02,1.082997769e-02
7.270413818e+02,5.976553541e-03
7.272728882e+02,-3.090607235e-03
7.275044556e+02,-2.306347247e-03
7.277360229e+02,4.111071583e-03
7.279675903e+02,1.145019475e-02
7.281991577e+02,2.102528466e-03
7.284307251e+02,1.124871150e-02
7.286623535e+02,-5.218478851e-03
7.288939209e+02,3.304311540e-03
7.291255493e+02,7.281520404e-03
7.293571777e+02,1.080644596e-02
7.295888062e+02,4.337912891e-03
7.298204346e+02,1.146629080e-02
7.300521240e+02,4.038266779e-04
7.302837524e+02,-8.686759975e-04
7.305154419e+02,9.229016490e-03
7.307471313e+02,-3.554583294e-03
7.309788208e+02,-2.477708273e-03
7.312105103e+02,5.587535910e-03
